model,seed,is_classical,is_semi_supervised,n_train_windows,n_test_windows,train_time_s,threshold,temperature,ece_pre,ece_post,precision,recall,f1,fpr,mcc,tp,fp,tn,fn,roc_auc,pr_auc,pr_auc_ci_lo,pr_auc_ci_hi,latency_ms_per_sample
isolation_forest,123,True,False,69982,175341,2.62,0.7241867564193764,,0.2732803995659562,0.2732803995659562,0.985850248462899,0.2942408727930887,0.4532137325761486,0.009,0.3305425311658561,35115,504,55496,84226,0.7552547941103944,0.8787308325418954,0.8772531905995553,0.8802185880100355,21.345
isolation_forest,2024,True,False,69982,175341,2.62,0.814662977651985,,0.2746172273340538,0.2746172273340538,0.9840700022436616,0.1102554863793666,0.1982940502742781,0.0038035714285714,0.1870006398906013,13158,213,55787,106183,0.7395087564954925,0.8715767139406437,0.8697356185247126,0.8731563148313431,21.566
cnn_lstm,42,False,False,8744,21914,33.25,0.6751493215560913,0.0010000000474974,0.1614110084746787,0.1850054429186336,0.9795376029763486,0.7428456267634018,0.8449283667621776,0.0328685258964143,0.6630663972157185,11058,231,6797,3828,0.8664962661398321,0.9099457943269568,0.906225298840054,0.9131409256690448,0.948
cnn_lstm,123,False,False,8744,21914,36.3,0.6537445187568665,0.5477124452590942,0.1918034906640354,0.2021838869454443,0.9891304347826086,0.5685207577589682,0.7220373688251855,0.0132327831531018,0.5312721432126848,8463,93,6935,6423,0.9613175051659928,0.9752758715300784,0.9720441336376708,0.9782462805006544,1.119
cnn_lstm,2024,False,False,8744,21914,42.6,0.7503039240837097,0.5873833298683167,0.1685676074256081,0.1743703768772298,0.9908226077224398,0.5947198710197501,0.7432937324209731,0.0116676152532726,0.553789183617531,8853,82,6946,6033,0.968049282304956,0.9802798461325626,0.9777187620976802,0.9831700637790156,0.815
bilstm,42,False,False,8744,21914,208.43,0.6244722604751587,0.5285820960998535,0.16547596117866442,0.15391496483230507,0.9923427529626253,0.7312911460432622,0.8420482673267327,0.01195219123505976,0.6715016858322161,10886,84,6944,4000,0.9789542478824649,0.9874794428845202,0.9852743133013785,0.9890886367693543,1.843
lstm,42,False,False,8744,21914,71.55,0.6611940860748291,0.5558741688728333,0.16418856671799711,0.16173227971639198,0.9911630558722919,0.7007255139056832,0.8210153482880755,0.013232783153101878,0.6422745484566447,10431,93,6935,4455,0.9756110201523229,0.9852516744055504,0.9828426870476514,0.987368236477154,0.824
gru,42,False,False,8744,21914,88.74,0.6382415890693665,0.38423019647598267,0.1686355524390502,0.15831913824060181,0.9879154078549849,0.7029423619508263,0.8214145537326321,0.01821286283437678,0.6395483174436591,10464,128,6900,4422,0.9741976461823195,0.9848405422225017,0.9826608684148491,0.9865877434229519,3.387
cnn1d,42,False,False,8744,21914,26.75,0.6311240196228027,0.6611825823783875,0.23715350489978942,0.2453756019201518,0.9926806953339433,0.5102109364503561,0.6740027510316369,0.00796812749003984,0.49176098380602457,7595,56,6972,7291,0.9612490232157873,0.9786258295699538,0.976063268583118,0.9808076748660534,0.687
mlp,42,False,False,8744,21914,6.16,0.4378848969936371,2.1684062480926514,0.2526020084738873,0.21330595185115436,0.6792917769462444,1.0,0.8090217391304347,1.0,0.0,14886,7028,0,0,0.5487660975835243,0.7146230556378561,0.7058967683390219,0.7232347045348476,0.176
tcn,42,False,False,8744,21914,122.49,0.6717949509620667,0.46361052989959717,0.1578472163831952,0.1498713036458795,0.991931828483365,0.7350530699986565,0.8443878535324304,0.012663631189527604,0.6743642125649569,10942,89,6939,3944,0.9761209141285571,0.9857337906347121,0.9834273035200932,0.987708671752457,4.202
transformer,42,False,False,8744,21914,417.02,0.6376400589942932,0.523395299911499,0.18508827748247822,0.18492260618220585,0.9886030949393559,0.6351605535402391,0.7734151329243354,0.015509391007398976,0.583174989259561,9455,109,6919,5431,0.9715774576594297,0.9805058221704299,0.9770078869274074,0.9836062746793952,1.444
